V1,V2
sim_002,4
sim_003,1
sim_004,6
sim_005,6
sim_006,8
sim_007,10
sim_008,19
sim_009,22
sim_010,35
sim_011,25
sim_012,30
sim_013,23
sim_014,29
sim_015,33
sim_016,32
sim_017,28
sim_018,31
sim_019,28
sim_020,32
sim_021,29
sim_022,26
