V1,V2
sim_002,6
sim_003,11
sim_004,11
sim_005,8
sim_006,15
sim_007,16
sim_008,20
sim_009,18
sim_010,16
sim_011,19
sim_012,17
sim_013,20
sim_014,18
sim_015,19
sim_016,18
sim_017,25
sim_018,22
