cases,date
USA-MA-CDCBI-CRSP_TZDIX67OTPFVG47U-2021,800
USA-MA-CDCBI-CRSP_XPFB3UCDJAUP6WXI-2021,802
USA-MA-CDCBI-CRSP_7STBOEYPSQZT3REM-2021,807
USA-MA-CDCBI-CRSP_VUIJVBKS2VGQY3SL-2021,808
USA-MA-CDCBI-CRSP_2JNS6TXMIUE3ZB26-2021,809
USA-MA-CDCBI-CRSP_6YQPOTILFFKDU4TN-2021,811
USA-MA-CDCBI-CRSP_6OMX3I2UMZZHUXBO-2021,812
USA-MA-CDCBI-CRSP_IHSEGMUZYIMN6SGN-2021,813
USA-MA-CDCBI-CRSP_JY5NS2N4GGDFWJBX-2021,813
USA-MA-CDCBI-CRSP_CNIDY22ZJO6ZYNQH-2021,813
USA-MA-CDCBI-CRSP_JG655GVYQ3R2ZIW7-2021,813
USA-MA-CDCBI-CRSP_WGJ3VBWJN2L5SFPB-2021,813
USA-MA-CDCBI-CRSP_PRXQJCSRXPVGW5SY-2021,813
USA-MA-CDCBI-CRSP_OKO4FOUDPPVENMZV-2021,814
USA-MA-CDCBI-CRSP_ZKK2XSBSSEDVSCSN-2021,814
USA-MA-CDCBI-CRSP_GRW3R2WIS6D6VBIK-2021,814
USA-MA-CDCBI-CRSP_4MAVQKI2FUKD6JDQ-2021,814
USA-MA-CDCBI-CRSP_BFRFJUG6SXFCECA4-2021,814
USA-MA-CDCBI-CRSP_YPTCOUXXNHELJ4K2-2021,814
USA-MA-CDCBI-CRSP_AMC7RZYI5LGZZP4B-2021,814
USA-MA-CDCBI-CRSP_UDXDMVT6VGFMDNDF-2021,814
USA-MA-CDCBI-CRSP_OTVWWVKNGL63F4QF-2021,815
USA-MA-CDCBI-CRSP_E2265XKW2ACLHCYG-2021,815
USA-MA-CDCBI-CRSP_E4JA56HNXA7QUCO4-2021,815
USA-MA-CDCBI-CRSP_OLY7N3QUUVJH6EE3-2021,815
USA-MA-CDCBI-CRSP_5ZVE3CERRWZAU2W2-2021,816
USA-MA-CDCBI-CRSP_SBUERYRZ6OWFFHTT-2021,816
USA-MA-CDCBI-CRSP_OYZF6OB3UQU3RHTJ-2021,816
USA-MA-CDCBI-CRSP_CRBWCODOI4USRKTX-2021,816
USA-MA-CDCBI-CRSP_7FWYDTSDK2C2YNFP-2021,816
USA-MA-CDCBI-CRSP_XMUAHNX57A2W4IG6-2021,816
USA-MA-CDCBI-CRSP_EILUCQ27SBN5ENPW-2021,816
USA-MA-CDCBI-CRSP_7KWSZGQQCVMVBNSV-2021,816
USA-MA-CDCBI-CRSP_J7BAY25DP24NPTN4-2021,817
USA-MA-CDCBI-CRSP_UF6U3BAGMWKELHED-2021,817
USA-MA-CDCBI-CRSP_ATYTJCE5NM2O5AHH-2021,818
USA-MA-CDCBI-CRSP_GRFET3HMAHWGCHIB-2021,818
USA-MA-CDCBI-CRSP_Z55J6LOGOVGEWHRN-2021,818
USA-MA-CDCBI-CRSP_LOEQZLUSZMIHHWML-2021,818
USA-MA-CDCBI-CRSP_SGAKJ5RQVF2H4T6P-2021,818
USA-MA-CDCBI-CRSP_XARXEUMIWTOE2Q5U-2021,818
USA-MA-CDCBI-CRSP_I672NX7SPZAPQR4T-2021,818
USA-MA-CDCBI-CRSP_FAQQFLUWIRO6QP2K-2021,818
USA-MA-CDCBI-CRSP_DZB4KTVZHJHYHSU7-2021,819
USA-MA-CDCBI-CRSP_T4BSMJEST7OYYM2S-2021,819
USA-MA-CDCBI-CRSP_UJ544BWJ2KW4Y6R6-2021,820
USA-MA-CDCBI-CRSP_64QQ4MIINW6CXWUU-2021,820
USA-MA-CDCBI-CRSP_RYT2I2GQAS4AAXRU-2021,820
USA-MA-CDCBI-CRSP_TBSHKR7BCEYPOCSX-2021,820
USA-MA-CDCBI-CRSP_QJQUG4OL3JEFLOUD-2021,820
USA-MA-CDCBI-CRSP_PWNLFANKOCTNLZFK-2021,820
USA-MA-CDCBI-CRSP_OSCH2MQO67LNMK7K-2021,820
USA-MA-CDCBI-CRSP_T2XWAJZFLULULIR4-2021,820
USA-MA-CDCBI-CRSP_ROKEIA75VLYZKCM3-2021,820
USA-MA-CDCBI-CRSP_TG4R4NM3J6RZP4LL-2021,821
USA-MA-CDCBI-CRSP_MP4NE3F5D334RFMX-2021,821
USA-MA-CDCBI-CRSP_WYMUKPZ6X7FPZOFE-2021,821
USA-MA-CDCBI-CRSP_UALRLYPCEJSYJGON-2021,821
USA-MA-CDCBI-CRSP_T2Q3RDRSM56DZIX5-2021,821
USA-MA-CDCBI-CRSP_V4IQ7QBMWGOORZWG-2021,821
USA-MA-CDCBI-CRSP_FDSQVX4BFIT4L7V2-2021,821
USA-MA-CDCBI-CRSP_MXRVOCNZR6AO57FX-2021,825
USA-MA-CDCBI-CRSP_GAFLHCCS6JKAVH4U-2021,825
USA-MA-CDCBI-CRSP_LSKE4OAVLIV7GHNY-2021,825
USA-MA-CDCBI-CRSP_3JAXIXGJDYM3L5OT-2021,825
USA-MA-CDCBI-CRSP_M3BCGMYXQYAAGLVF-2021,826
USA-MA-CDCBI-CRSP_ZPAL5TQJN7R2VVWW-2021,826
USA-MA-CDCBI-CRSP_PTUVD2IEBK7PINUZ-2021,826
USA-MA-CDCBI-CRSP_AHNC6VT4CTN6IZLS-2021,826
USA-MA-CDCBI-CRSP_WUVMXRZEWOQVN6GV-2021,826
USA-MA-CDCBI-CRSP_7WKJV77CHNC5UPEQ-2021,827
USA-MA-CDCBI-CRSP_XVDQP6UEA73ZEADU-2021,827
USA-MA-CDCBI-CRSP_R4V76WAPGWGO6DHZ-2021,827
USA-MA-CDCBI-CRSP_DO4XKWIKLRW5ZHRT-2021,827
USA-MA-CDCBI-CRSP_HHQWABTKY4F7RXHT-2021,827
USA-MA-CDCBI-CRSP_B5QA5RYS5H7ZVUE4-2021,827
USA-MA-CDCBI-CRSP_5SOQ33UPRI56K53N-2021,827
USA-MA-CDCBI-CRSP_FHFNXWBTFRLJWLEX-2021,827
USA-MA-CDCBI-CRSP_QEAD2L5CM7KF6K4T-2021,827
USA-MA-CDCBI-CRSP_4XQFJQNEAXPPFHHH-2021,827
USA-MA-CDCBI-CRSP_VLZEAWTHPUXXM6MZ-2021,827
USA-MA-CDCBI-CRSP_ALLPISNIGITXLSYM-2021,827
USA-MA-CDCBI-CRSP_LVTKEQBFQ4DIFJDB-2021,827
USA-MA-CDCBI-CRSP_2NVWG4J54AWUSQ7T-2021,828
USA-MA-CDCBI-CRSP_G6XEXN4CEECAS2U7-2021,828
USA-MA-CDCBI-CRSP_DABY4ISAHESIWPHQ-2021,828
USA-MA-CDCBI-CRSP_ANJKRU6UN4LXJVUC-2021,828
USA-MA-CDCBI-CRSP_VOOMWQG362VVYSL6-2021,828
USA-MA-CDCBI-CRSP_4DYBQ2C5YYEBCWJL-2021,828
USA-MA-CDCBI-CRSP_MFOU5BYMWNYADYTM-2021,828
USA-MA-CDCBI-CRSP_DULISWTKMGXYLZPI-2021,829
USA-MA-CDCBI-CRSP_ICF4DITHO3BL3ASI-2021,829
USA-MA-CDCBI-CRSP_532S2546DPZRGFRW-2021,829
USA-MA-CDCBI-CRSP_SP32DQAFDJLFO3L4-2021,829
USA-MA-CDCBI-CRSP_W4MV3PVQN4IOECCT-2021,830
USA-MA-CDCBI-CRSP_I2FWXR26DGS345VN-2021,830
USA-MA-CDCBI-CRSP_NCOPUZECNND2P4D5-2021,830
USA-MA-CDCBI-CRSP_ZNV55TYZ73GQDUQ3-2021,830
USA-MA-CDCBI-CRSP_HICYNAOB76YMKLQA-2021,830
USA-MA-CDCBI-CRSP_OKXHSEGNOWAG3UQO-2021,830
USA-MA-CDCBI-CRSP_WCQKZFN2ZCAW6OPQ-2021,830
USA-MA-CDCBI-CRSP_SFVLXMFSAHAIAGTW-2021,831
USA-MA-CDCBI-CRSP_UXXU6JM3F5RGKWLM-2021,831
USA-MA-CDCBI-CRSP_HEEZVCURTYBLLXWT-2021,831
USA-MA-CDCBI-CRSP_47FUGW5DSZC6XGJH-2021,831
USA-MA-CDCBI-CRSP_L6W7TIH7MARQ3ROG-2021,831
USA-MA-CDCBI-CRSP_L55NVXSGKDLKBHZJ-2021,831
USA-MA-CDCBI-CRSP_7JYY52XIYOC7GPZS-2021,831
USA-MA-CDCBI-CRSP_6JOONQYYQGXKXWRI-2021,831
USA-MA-CDCBI-CRSP_JNDL73XMHDHYUWL3-2021,831
USA-MA-CDCBI-CRSP_EVI4UXUTPWF4UZI5-2021,831
USA-MA-CDCBI-CRSP_V3NWHJVWFBUTFMPD-2021,831
USA-MA-CDCBI-CRSP_FNNOQVEPDVQ7AYMS-2021,831
USA-MA-CDCBI-CRSP_62UPA3QODQ7F52N6-2021,831
USA-MA-CDCBI-CRSP_IKKONYJH26PVULBJ-2021,832
USA-MA-CDCBI-CRSP_DAXHRRXLKKD6P7W2-2021,832
USA-MA-CDCBI-CRSP_V52DQTFXNXSYYCZL-2021,833
