V1,V2
sim_002,2
sim_003,1
sim_004,11
sim_005,12
sim_006,12
sim_007,11
sim_008,16
sim_009,15
sim_010,23
sim_011,20
sim_012,18
sim_013,16
sim_014,21
sim_015,22
sim_016,20
sim_017,22
sim_018,22
sim_019,27
sim_020,32
sim_021,25
sim_022,27
sim_023,29
sim_024,28
