V1,V2
sim_002,6
sim_003,3
sim_004,14
sim_005,8
sim_006,15
sim_007,11
sim_008,22
sim_009,28
sim_010,35
sim_011,29
sim_012,31
sim_013,26
sim_014,42
sim_015,36
sim_016,29
sim_017,40
sim_018,34
