cases,date
USA-MA-CDCBI-CRSP_BUZBAFBLK3KQMRXG-2021,659
USA-MA-CDCBI-CRSP_A6CCKO6TGLZKOV3G-2021,707
USA-MA-CDCBI-CRSP_TO3SNQS4LTQ66ZD7-2021,677
USA-MA-CDCBI-CRSP_ZBK3KJ3HXTAL5HKA-2021,665
USA-MA-CDCBI-CRSP_W3YDTXUV3RPBR4OI-2021,665
USA-MA-CDCBI-CRSP_VBGOIEE2S7R573GL-2021,667
USA-MA-CDCBI-CRSP_NJYBPETQEMUNBRDH-2021,691
USA-MA-CDCBI-CRSP_YB6YLSDLMBVF7J5K-2021,679
USA-MA-CDCBI-CRSP_RPBA6SM5HPBSQIGO-2021,677
USA-MA-CDCBI-CRSP_7LP7D7FBGNR6P5UE-2022,923
USA-MA-CDCBI-CRSP_CUH4CXWTFIY7ATMC-2021,677
USA-MA-CDCBI-CRSP_3KERPWLPIMHAOZGP-2021,677
USA-MA-CDCBI-CRSP_H6KYIE2A7W7T4JVB-2021,702
USA-MA-CDCBI-CRSP_DUHNGP3VDGSZGYOU-2021,678
USA-MA-CDCBI-CRSP_KNUZSKK6KMGQXYDN-2021,677
USA-MA-CDCBI-CRSP_QP7LYUYYNZGM5HLL-2021,692
USA-MA-CDCBI-CRSP_JAR3AOGIVNCK5JQ6-2021,687
USA-MA-CDCBI-CRSP_3KBNCO7FRIK5FVC4-2021,678
USA-MA-CDCBI-CRSP_YYHPZ4CZGHIBHNGI-2021,677
USA-MA-Broad-CRSP_TGGFRL7ZZGLYVVN2-2022,849
USA-MA-CDCBI-CRSP_LSA3EUQTMBKPWSPV-2021,653
USA-MA-CDCBI-CRSP_EU45X3WZJY3RJIX7-2021,660
USA-MA-CDCBI-CRSP_FK5RPXO3PAYHNN2C-2021,670
USA-MA-CDCBI-CRSP_DEJJDRD4CCJY7H5N-2021,687
USA-MA-CDCBI-CRSP_UVQLDAGEO4ZSIRG6-2021,687
USA-MA-CDCBI-CRSP_NFD7R5EPL4O5PEOY-2021,702
USA-MA-CDCBI-CRSP_XXZCHUNJT6CDZDVP-2021,705
USA-MA-CDCBI-CRSP_PPT5X7572QT4S6G2-2021,684
USA-MA-CDCBI-CRSP_IQZU4J7AVEAYYYGT-2021,677
USA-MA-CDCBI-CRSP_BC3OBRFQH3PXJTZJ-2021,677
USA-MA-CDCBI-CRSP_W6LGHRURULAXYOPE-2021,691
USA-MA-CDCBI-CRSP_VVOMSDCSSWOQE2PK-2021,705
USA-MA-CDCBI-CRSP_BDXOG2ETCK2QVTHP-2021,677
USA-MA-CDCBI-CRSP_AZRD5PTVZT3DUL5Z-2021,679
USA-MA-CDCBI-CRSP_I3KDXD4PALOVJJHG-2021,679
USA-MA-CDCBI-CRSP_YXBCPFSILU7FYGGK-2021,692
USA-MA-CDCBI-CRSP_RHLAYPSKYMNXNAIA-2021,700
USA-MA-CDCBI-CRSP_JGRTA3KJP42KE52T-2021,681
USA-MA-CDCBI-CRSP_2Z7PBSQ64BNB4KXR-2021,659
USA-MA-CDCBI-CRSP_5PBOOVP7WRVPDJS5-2021,680
USA-MA-CDCBI-CRSP_3VHXBOFA7SRFQDKI-2021,677
USA-MA-CDCBI-CRSP_UJJDRIOEPRJZSQXA-2021,679
USA-MA-CDCBI-CRSP_MKYFTZFAOKVU3NZC-2021,686
USA-MA-CDCBI-CRSP_DHCVNTSZVD6NKQ7I-2021,677
USA-MA-CDCBI-CRSP_VVV3XJBMZJMX2GFI-2021,677
USA-MA-CDCBI-CRSP_JUPSSUOQG42FDKOA-2021,679
USA-MA-Broad-CRSP_A25EUDO2HOLXXDQV-2022,827
USA-MA-CDCBI-CRSP_36TATLI547HWTGZE-2021,684
USA-MA-CDCBI-CRSP_FYSJONBSMDSCORE3-2021,691
USA-MA-CDCBI-CRSP_HJCE4Q5V7CWKT4M7-2021,702
USA-MA-CDCBI-CRSP_J2RAXRRXCXI4A2EY-2021,677
USA-MA-CDCBI-CRSP_TUBJM6HQCCZCY7B7-2021,667
USA-MA-CDCBI-CRSP_FAABLKSLWMQ3DW7O-2021,681
USA-MA-CDCBI-CRSP_JRJAXBLGH6D4ZP3G-2021,659
USA-MA-CDCBI-CRSP_AJTC3WBM3PS2QCBS-2021,679
USA-MA-CDCBI-CRSP_ZW74BFLZF6CNBZPZ-2021,678
USA-MA-CDCBI-CRSP_TWJ2SIOJSZASEAA3-2021,667
USA-MA-CDCBI-CRSP_RCUJ62QI4RWX4BMI-2021,701
USA-MA-CDCBI-CRSP_IFD5WOSX3EI2IFVI-2021,698
