V1,V2
sim_002,5
sim_003,7
sim_004,6
sim_005,12
sim_006,17
sim_007,12
sim_008,13
sim_009,16
sim_010,17
sim_011,18
sim_012,23
sim_013,22
sim_014,17
sim_015,24
sim_016,23
sim_017,20
sim_018,27
sim_019,25
sim_020,33
sim_021,22
sim_022,21
sim_023,28
